knot, superbridge index
0_1, 1
3_1, 3
4_1, 3
5_1, 4
5_2, "[3,4]"
6_1, "[3,4]"
6_2, "[3,4]"
6_3, "[3,4]"
7_1, 4
7_2, "[3,4]"
7_3, "[3,4]"
7_4, "[3,4]"
7_5, 4
7_6, 4
7_7, 4
8_1, 4
8_2, 4
8_3, 4
8_4, "[3,4]"
8_5, 4
8_6, 4
8_7, 4
8_8, 4
8_9, "[3,4]"
8_10, 4
8_11, 4
8_12, 4
8_13, 4
8_14, 4
8_15, 4
8_16, 4
8_17, 4
8_18, 4
8_19, 4
8_20, 4
8_21, 4
9_1, 4
9_2, "[4,5]"
9_3, "[4,5]"
9_4, "[4,5]"
9_5, "[4,5]"
9_6, "[4,5]"
9_7, 4
9_8, "[4,5]"
9_9, "[4,5]"
9_10, "[4,5]"
9_11, "[4,5]"
9_12, "[4,5]"
9_13, "[4,5]"
9_14, "[4,5]"
9_15, "[4,5]"
9_16, 4
9_17, "[4,5]"
9_18, "[4,5]"
9_19, "[4,5]"
9_20, 4
9_21, "[4,5]"
9_22, "[4,5]"
9_23, "[4,5]"
9_24, "[4,5]"
9_25, "[4,5]"
9_26, 4
9_27, "[4,5]"
9_28, "[4,5]"
9_29, 4
9_30, "[4,5]"
9_31, "[4,5]"
9_32, 4
9_33, 4
9_34, 4
9_35, 4
9_36, "[4,5]"
9_37, "[4,5]"
9_38, "[4,5]"
9_39, 4
9_40, 4
9_41, 4
9_42, 4
9_43, 4
9_44, 4
9_45, 4
9_46, 4
9_47, 4
9_48, 4
9_49, 4
10_1, "[4,5]"
10_2, "[4,5]"
10_3, "[4,5]"
10_4, "[4,5]"
10_5, "[4,5]"
10_6, "[4,5]"
10_7, "[4,5]"
10_8, "[4,5]"
10_9, "[4,5]"
10_10, "[4,5]"
10_11, "[4,5]"
10_12, "[4,5]"
10_13, "[4,5]"
10_14, "[4,5]"
10_15, "[4,5]"
10_16, "[4,5]"
10_17, "[4,5]"
10_18, "[4,5]"
10_19, "[4,5]"
10_20, "[4,5]"
10_21, "[4,5]"
10_22, "[4,5]"
10_23, "[4,5]"
10_24, "[4,5]"
10_25, "[4,5]"
10_26, "[4,5]"
10_27, "[4,5]"
10_28, "[4,5]"
10_29, "[4,5]"
10_30, "[4,5]"
10_31, "[4,5]"
10_32, "[4,5]"
10_33, "[4,5]"
10_34, "[4,5]"
10_35, "[4,5]"
10_36, "[4,5]"
10_37, "[4,5]"
10_38, "[4,5]"
10_39, "[4,5]"
10_40, "[4,5]"
10_41, "[4,5]"
10_42, "[4,5]"
10_43, "[4,5]"
10_44, "[4,5]"
10_45, "[4,5]"
10_46, "[4,5]"
10_47, "[4,5]"
10_48, "[4,5]"
10_49, "[4,5]"
10_50, "[4,5]"
10_51, "[4,5]"
10_52, "[4,5]"
10_53, "[4,5]"
10_54, "[4,5]"
10_55, "[4,5]"
10_56, "[4,5]"
10_57, "[4,5]"
10_58, "[4,5]"
10_59, "[4,5]"
10_60, "[4,5]"
10_61, "[4,5]"
10_62, "[4,5]"
10_63, "[4,5]"
10_64, "[4,5]"
10_65, "[4,5]"
10_66, "[4,5]"
10_67, "[4,5]"
10_68, "[4,5]"
10_69, "[4,5]"
10_70, "[4,5]"
10_71, "[4,5]"
10_72, "[4,5]"
10_73, "[4,5]"
10_74, "[4,5]"
10_75, "[4,5]"
10_76, "[4,5]"
10_77, "[4,5]"
10_78, "[4,5]"
10_79, "[4,5]"
10_80, "[4,5]"
10_81, "[4,5]"
10_82, "[4,5]"
10_83, "[4,5]"
10_84, "[4,5]"
10_85, "[4,5]"
10_86, "[4,5]"
10_87, "[4,5]"
10_88, "[4,5]"
10_89, "[4,5]"
10_90, "[4,5]"
10_91, "[4,5]"
10_92, "[4,5]"
10_93, "[4,5]"
10_94, "[4,5]"
10_95, "[4,5]"
10_96, "[4,5]"
10_97, "[4,5]"
10_98, "[4,5]"
10_99, "[4,5]"
10_100, "[4,5]"
10_101, "[4,5]"
10_102, "[4,5]"
10_103, "[4,5]"
10_104, "[4,5]"
10_105, "[4,5]"
10_106, "[4,5]"
10_107, "[4,5]"
10_108, "[4,5]"
10_109, "[4,5]"
10_110, "[4,5]"
10_111, "[4,5]"
10_112, "[4,5]"
10_113, "[4,5]"
10_114, "[4,5]"
10_115, "[4,5]"
10_116, "[4,5]"
10_117, "[4,5]"
10_118, "[4,5]"
10_119, "[4,5]"
10_120, "[4,5]"
10_121, "[4,5]"
10_122, "[4,5]"
10_123, "[4,5]"
10_124, 5
10_125, "[4,5]"
10_126, "[4,5]"
10_127, "[4,5]"
10_128, "[4,5]"
10_129, "[4,5]"
10_130, "[4,5]"
10_131, "[4,5]"
10_132, "[4,5]"
10_133, "[4,5]"
10_134, "[4,5]"
10_135, "[4,5]"
10_136, "[4,5]"
10_137, "[4,5]"
10_138, "[4,5]"
10_139, "[4,5]"
10_140, "[4,5]"
10_141, "[4,5]"
10_142, "[4,5]"
10_143, "[4,5]"
10_144, "[4,5]"
10_145, "[4,5]"
10_146, "[4,5]"
10_147, "[4,5]"
10_148, "[4,5]"
10_149, "[4,5]"
10_150, "[4,5]"
10_151, "[4,5]"
10_152, "[4,5]"
10_153, "[4,5]"
10_154, "[4,5]"
10_155, "[4,5]"
10_156, "[4,5]"
10_157, "[4,5]"
10_158, "[4,5]"
10_159, "[4,5]"
10_160, "[4,5]"
10_161, "[4,5]"
10_162, "[4,5]"
10_163, "[4,5]"
10_164, "[4,5]"
10_165, "[4,5]"
